gene_human,gene,M_1_R1,M_1_R2,M_1_R3,M_2_R1,M_2_R2,M_2_R3,M_3_R1,M_3_R2,M_3_R3,H_1_R1,H_1_R2,H_1_R3,H_2_R1,H_2_R2,H_2_R3,H_3_R1,H_3_R2,H_3_R3,Gene description,Gene stable ID,Human gene stable ID,Protein stable ID,Protein.Group,Protein.Ids,Protein.Names,Protein.Group,Protein.Ids,Protein.Names
MMAA,Mmaa,9429.351403,0,5960.155752,6981.842969,5402.621596,0,3757.490109,3775.588379,0,16533.58752,14713.11848,14913.46889,17044.22326,0,13858.878,18150.57939,18910.82313,11487.36795,methylmalonic aciduria (cobalamin deficiency) type A [Source:MGI Symbol;Acc:MGI:1923805],ENSMUSG00000037022,ENSG00000151611,ENSMUSP00000048826,Q8IVH4,Q8IVH4;A0A3B3IRG3;D6RIS5;A0A3B3ITP4;Q495G5,MMAA_HUMAN,Q8C7H1,Q8C7H1,MMAA_MOUSE
GPATCH1,Gpatch1,6572.321103,6561.502387,7186.361108,6992.873813,7370.439914,6758.810187,5612.638481,5141.420083,5658.794093,6968.451576,6678.012999,6119.80052,4299.597784,7270.02624,6615.707824,6803.935549,6666.529028,7639.598145,G patch domain containing 1 [Source:MGI Symbol;Acc:MGI:1914721],ENSMUSG00000063808,ENSG00000076650,ENSMUSP00000078632,Q9BRR8,Q9BRR8,GPTC1_HUMAN,Q9DBM1,Q9DBM1;D6RET6,GPTC1_MOUSE
MT-CO3,mt-Co3,1581.318306,9899.200437,6085.637169,6996.709266,8262.136898,13578.69614,6861.901073,2568.283333,4411.233858,10549.18044,16926.92529,16846.7353,10290.45223,9062.719028,15031.79375,10772.62941,11739.03806,13266.96281,mitochondrially encoded cytochrome c oxidase III [Source:MGI Symbol;Acc:MGI:102502],ENSMUSG00000064358,ENSG00000198938,ENSMUSP00000080997,P00414,P00414,COX3_HUMAN,P00416,P00416,COX3_MOUSE
WDTC1,Wdtc1,5958.619031,5221.718642,5611.251766,6998.259008,7682.56899,8298.901303,4162.68506,4915.454905,4389.680521,5367.618281,7775.577148,5297.302198,6892.197187,6208.101406,7737.789334,5430.297657,4916.455116,9860.461137,WD and tetratricopeptide repeats 1 [Source:MGI Symbol;Acc:MGI:2685541],ENSMUSG00000037622,ENSG00000142784,ENSMUSP00000040647,Q8N5D0,Q8N5D0,WDTC1_HUMAN,Q80ZK9,Q80ZK9;A2AE98,WDTC1_MOUSE
QSER1,Qser1,6597.050673,5524.415089,5139.387565,7006.53968,6437.008024,7008.422831,4272.757631,4045.228343,4039.850588,4967.091037,5270.401592,4753.32555,6248.399053,5798.034282,6149.357253,5176.939141,5634.65948,6517.316906,glutamine and serine rich 1 [Source:MGI Symbol;Acc:MGI:2138986],ENSMUSG00000074994,ENSG00000060749,ENSMUSP00000155882,Q2KHR3,Q2KHR3;A0A3B3IRW6,QSER1_HUMAN,A0A338P6K9,A2BIE1;A0A338P6K9,A0A338P6K9_MOUSE
DNAJC16,Dnajc16,4736.281179,6520.625833,5037.197811,7010.264622,6663.849059,7683.790488,3284.012041,2803.240241,2651.835289,8143.474773,8487.55279,7604.180686,10411.86495,9965.125646,8475.904461,9366.580522,8490.923859,8837.086715,DnaJ heat shock protein family (Hsp40) member C16 [Source:MGI Symbol;Acc:MGI:2442146],ENSMUSG00000040697,ENSG00000116138,ENSMUSP00000048714,Q9Y2G8,Q9Y2G8;Q5TDH4;Q5TDG9,DJC16_HUMAN,Q80TN4,Q80TN4,DJC16_MOUSE
SMCR8,Smcr8,7194.883323,6996.081554,6534.513767,7015.040796,8112.349326,7898.375794,4162.026141,4148.574675,3705.983619,5531.997054,8230.247189,5844.351033,7018.597982,6938.25775,6455.056307,6902.328267,6340.574787,7909.225259,"Smith-Magenis syndrome chromosome region, candidate 8 homolog (human) [Source:MGI Symbol;Acc:MGI:2444720]",ENSMUSG00000049323,ENSG00000176994,ENSMUSP00000099728,Q8TEV9,Q8TEV9,SMCR8_HUMAN,Q3UMB5,Q3UMB5,SMCR8_MOUSE
ITGA5,Itga5,6965.019063,7543.654633,6840.672586,7039.817424,7289.816457,6732.790844,5102.245514,5159.428408,5993.555605,22061.13,23680.67129,22374.50745,27829.6563,27596.46902,26887.98204,27445.23749,30568.92251,26611.07184,integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol;Acc:MGI:96604],ENSMUSG00000000555,ENSG00000161638,ENSMUSP00000148865,P08648,P08648,ITA5_HUMAN,P11688,P11688,ITA5_MOUSE
RBFA,Rbfa,12097.5501,9632.250062,7839.899724,7044.540501,8031.798923,7798.843956,4893.360398,4577.782079,3986.949373,9932.962491,10108.3482,13524.30034,14656.76217,11766.60227,11708.07797,12125.03444,13812.52823,11999.21015,ribosome binding factor A [Source:MGI Symbol;Acc:MGI:1915981],ENSMUSG00000024570,ENSG00000101546,ENSMUSP00000025462,Q8N0V3,Q8N0V3,RBFA_HUMAN,Q6P3B9,Q6P3B9,RBFA_MOUSE
FKBP15,Fkbp15,7342.407414,6449.632335,6118.415948,7046.261184,7095.979584,7613.087781,4603.453856,3989.283215,4456.372006,10078.77164,12063.07651,10695.1313,12337.49101,11969.8739,11142.35309,11877.68696,12856.69492,12681.30738,FK506 binding protein 15 [Source:MGI Symbol;Acc:MGI:2444782],ENSMUSG00000066151,ENSG00000119321,,Q5T1M5,Q5T1M5,FKB15_HUMAN,Q6P9Q6,Q6P9Q6;Q80YW6;A0A6I8MWZ0;Q80YW7;Q80YW9,FKB15_MOUSE
MEX3D,Mex3d,7173.254856,6435.769998,6821.586717,7049.243305,6176.331849,6307.947798,4942.837791,3678.892549,5039.14613,8844.987585,9990.269955,7782.470386,9585.881248,8424.251144,10743.57406,8632.805074,9756.82687,11192.90501,mex3 RNA binding family member D [Source:MGI Symbol;Acc:MGI:2681847],ENSMUSG00000048696,ENSG00000181588,ENSMUSP00000100987,Q86XN8,Q86XN8;S4R446,MEX3D_HUMAN,Q3UE17,Q3UE17;D3YTR3,MEX3D_MOUSE
MCUR1,Mcur1,4805.497655,4443.174014,5670.994371,7049.684013,7366.176598,3299.147605,2874.248804,3375.779295,0,0,2670.563602,5136.150045,4447.868489,4117.566626,6102.2534,5407.988821,5495.081356,5197.736281,mitochondrial calcium uniporter regulator 1 [Source:MGI Symbol;Acc:MGI:1923387],ENSMUSG00000021371,ENSG00000050393,ENSMUSP00000021800,Q96AQ8,Q96AQ8;U3KQP8,MCUR1_HUMAN,Q9CXD6,Q9CXD6,MCUR1_MOUSE
PHC1,Phc1,7322.545908,7107.738844,6624.320884,7050.120829,7045.426332,7484.292383,4381.324912,4491.30324,4681.394209,3561.080937,2948.770543,2840.632873,3343.894585,3047.226971,3513.239975,4644.660256,3252.096376,3875.529457,polyhomeotic 1 [Source:MGI Symbol;Acc:MGI:103248],ENSMUSG00000040669,ENSG00000111752,ENSMUSP00000125568,P78364,P78364;F5H6P9;F5H6F5;F5H0T9;F5H6F9;F5GZP4,PHC1_HUMAN,Q64028,Q64028;Q3V116;E0CXV8;Q7TT35,PHC1_MOUSE
PEX26,Pex26,8406.570263,8688.416517,8801.722725,7053.338602,5865.582083,10789.27435,9185.134488,7488.7425,8884.463228,12406.57888,12484.88897,7436.630176,11850.75285,12191.76358,13040.35238,11950.81462,14029.5632,9146.325519,peroxisomal biogenesis factor 26 [Source:MGI Symbol;Acc:MGI:1921293],ENSMUSG00000067825,ENSG00000215193,ENSMUSP00000113981,Q7Z412,Q7Z412,PEX26_HUMAN,Q8BGI5,Q8BGI5,PEX26_MOUSE
CDK13,Cdk13,7525.469854,6317.915027,6925.80374,7066.857071,6876.839287,7157.76584,5498.252511,4706.687373,4189.231148,4579.155391,4962.255861,4860.322342,5666.188858,5445.406229,5331.691855,5216.71364,4818.013828,5693.599711,cyclin-dependent kinase 13 [Source:MGI Symbol;Acc:MGI:1916812],ENSMUSG00000041297,ENSG00000065883,ENSMUSP00000152820,Q14004,Q14004;A0A2R8YF61;A0A2R8Y4Z0;A0A2R8Y7W5,CDK13_HUMAN,Q69ZA1,Q69ZA1,CDK13_MOUSE
PKP4,Pkp4,8021.822672,6416.771192,7045.477843,7072.193288,7336.0024,7454.472936,5480.509869,5558.798255,4710.965782,2944.083859,2794.57016,2307.692521,2824.14798,3654.170522,3864.609484,3053.924944,3629.145721,2729.796941,plakophilin 4 [Source:MGI Symbol;Acc:MGI:109281],ENSMUSG00000026991,ENSG00000144283,ENSMUSP00000099815,Q99569,Q99569;A0A0D9SF60,PKP4_HUMAN,Q68FH0,Q68FH0;A2AS44;A2AS45,PKP4_MOUSE
KANSL1,Kansl1,5030.867417,6221.398655,6102.295307,7073.35223,5742.337018,7180.658597,3907.415581,4935.848835,5149.478824,3695.1955,5092.833341,3446.339633,5885.257444,6234.211492,5953.460305,6520.813053,6935.996359,6915.150518,KAT8 regulatory NSL complex subunit 1 [Source:MGI Symbol;Acc:MGI:1923969],ENSMUSG00000018412,ENSG00000120071,ENSMUSP00000018556,Q7Z3B3,Q7Z3B3;A0A1W2PRB5;A0A0G2JQF5;A0A0J9YVS1;A0A0G2JNB1;A0A0G2JQF4;A0A1W2PPV8;A0A3B3IT55;A0A0G2JNT7;I3L233,KANL1_HUMAN,Q80TG1,Q80TG1;A2A5Y4,KANL1_MOUSE
GOLGA3,Golga3,6937.411697,5666.690237,5819.911631,7091.652401,7016.065791,6311.961116,4711.388485,4289.56559,4646.674735,5973.847988,5886.341415,5627.438204,7356.416435,7594.231362,7914.091677,6689.091328,7210.199265,6473.009079,"golgi autoantigen, golgin subfamily a, 3 [Source:MGI Symbol;Acc:MGI:96958]",ENSMUSG00000029502,ENSG00000090615,ENSMUSP00000108131,Q08378,Q08378,GOGA3_HUMAN,P55937,P55937;E9QP99;A0A0R4J1H6,GOGA3_MOUSE
OFD1,Ofd1,11417.53664,8527.494678,8877.282988,7102.372888,6404.063278,7414.953618,4734.572757,4904.974347,4569.747142,4878.666782,0,6000.205615,7626.108084,6206.655894,6512.209639,8126.344013,9033.812905,0,"OFD1, centriole and centriolar satellite protein [Source:MGI Symbol;Acc:MGI:1350328]",ENSMUSG00000040586,ENSG00000046651,ENSMUSP00000041744,O75665,O75665;A6NF31;A0A0A0MS89,OFD1_HUMAN,Q80Z25,Q80Z25;A2AEG2,OFD1_MOUSE
KLHL26,Klhl26,4088.229048,5528.295875,5552.091919,7107.636644,6871.313761,7600.836916,4136.780248,4273.31849,4014.844402,8324.833785,9957.710195,5939.968133,8271.628544,11280.84829,9527.009808,8071.2502,6911.860867,7384.008786,kelch-like 26 [Source:MGI Symbol;Acc:MGI:2443079],ENSMUSG00000055707,ENSG00000167487,ENSMUSP00000147432,Q53HC5,Q53HC5,KLH26_HUMAN,Q8BGY4,Q8BGY4;E9Q4C1,KLH26_MOUSE
DOCK11,Dock11,6260.432798,6436.074771,6264.108317,7141.624283,6784.798082,6695.168128,4601.912705,4256.121033,4391.499553,7266.582391,7014.41733,7463.13714,10548.00869,10220.79986,8741.227469,8224.726191,9252.879247,8755.017601,dedicator of cytokinesis 11 [Source:MGI Symbol;Acc:MGI:1923224],ENSMUSG00000031093,ENSG00000147251,ENSMUSP00000033419,Q5JSL3,Q5JSL3;A6NIW2,DOC11_HUMAN,A2AF47,A2AF47,DOC11_MOUSE
ZMYM1,Zmym1,8032.947022,6640.821708,6731.45818,7142.150754,7326.164862,7300.046373,4790.423456,4238.971719,4142.042511,3820.910972,4187.580255,3111.817275,5659.154224,4237.562135,4356.992851,4550.53259,3096.506227,4833.933736,"zinc finger, MYM domain containing 1 [Source:MGI Symbol;Acc:MGI:1915560]",ENSMUSG00000043872,ENSG00000197056,ENSMUSP00000101708,Q5SVZ6,Q5SVZ6,ZMYM1_HUMAN,A2A7T8;Q3TJB1,Q3TJB1;A2A7U0;A2A7T8,A2A7T8_MOUSE;Q3TJB1_MOUSE
MAPKAPK3,Mapkapk3,6472.931684,8551.448118,6608.656444,7144.629401,7045.61212,5603.486872,3876.542425,4139.769885,4243.850678,11922.52897,9737.982612,13781.23215,20432.8528,29717.89822,17705.63044,12915.63183,17910.93106,13253.06293,mitogen-activated protein kinase-activated protein kinase 3 [Source:MGI Symbol;Acc:MGI:2143163],ENSMUSG00000032577,ENSG00000114738,ENSMUSP00000035194,Q16644,Q16644;C9JPW3;C9J8E1,MAPK3_HUMAN,Q3UMW7,Q3UMW7,MAPK3_MOUSE
TCP11L1,Tcp11l1,12155.76352,7285.270389,8043.644438,7168.68465,7069.949398,8071.592077,6729.410663,5421.069331,5414.461809,13336.25113,12664.9159,11768.91965,16017.4487,14002.13752,14761.92907,14914.84568,15435.24616,13138.01399,t-complex 11 like 1 [Source:MGI Symbol;Acc:MGI:2444263],ENSMUSG00000027175,ENSG00000176148,ENSMUSP00000106747,Q9NUJ3,Q9NUJ3;E9PJ55,T11L1_HUMAN,Q8BTG3,Q8BTG3,T11L1_MOUSE
HDAC4,Hdac4,9027.455779,9605.211537,6018.428678,7180.690763,8888.678017,7904.247235,4251.110198,5538.391797,4670.275353,10187.76934,12217.33164,9683.970386,12220.07325,10786.58416,10874.7471,10566.11788,11441.34993,12726.62785,histone deacetylase 4 [Source:MGI Symbol;Acc:MGI:3036234],ENSMUSG00000026313,ENSG00000068024,ENSMUSP00000095249,P56524,P56524;C9J0X4;C9J481,HDAC4_HUMAN,Q6NZM9,Q6NZM9;A0A087WSF0,HDAC4_MOUSE
RMND1,Rmnd1,7977.288386,6844.451628,6718.380183,7195.733289,7871.143976,7289.811333,4887.663836,5668.758501,5038.386737,19486.91986,22763.11509,19636.6463,23870.61802,22649.01148,22504.58491,19573.96166,27859.97396,26619.54791,required for meiotic nuclear division 1 homolog [Source:MGI Symbol;Acc:MGI:1913334],ENSMUSG00000019763,ENSG00000155906,ENSMUSP00000043355,Q9NWS8,Q9NWS8;A0A2R8Y4J4;A0A087WXU0,RMND1_HUMAN,Q8CI78,Q8CI78,RMND1_MOUSE
ZZZ3,Zzz3,7452.78222,7135.616103,6031.564865,7223.628807,8424.371419,7109.089886,5125.992072,5420.492713,4757.071402,3222.403679,4395.013759,3993.967426,5506.14416,4632.037607,4134.568017,4651.588067,4459.025804,5874.129816,"zinc finger, ZZ domain containing 3 [Source:MGI Symbol;Acc:MGI:1920453]",ENSMUSG00000039068,ENSG00000036549,ENSMUSP00000101709,Q8IYH5,Q8IYH5,ZZZ3_HUMAN,Q6KAQ7,Q6KAQ7;D3YTT9,ZZZ3_MOUSE
ITFG1,Itfg1,14090.32436,9764.480448,10127.53988,7227.62975,11276.9326,8130.09111,6548.301288,6860.318098,6803.130248,13148.87127,12792.57903,13292.46412,17284.42012,15079.7375,16825.44326,16265.90002,13655.37487,15460.29465,integrin alpha FG-GAP repeat containing 1 [Source:MGI Symbol;Acc:MGI:106419],ENSMUSG00000031703,ENSG00000129636,ENSMUSP00000034140,Q8TB96,Q8TB96;F5GXC5,TIP_HUMAN,Q99KW9,Q99KW9,TIP_MOUSE
TAOK2,Taok2,4221.939528,8640.577986,8951.495899,7238.691785,10774.52881,9250.699414,7963.15689,8264.665455,6771.727785,4594.588407,5807.215265,4453.258634,4366.1106,5032.658134,3875.735366,4953.340714,3959.513795,4689.804261,TAO kinase 2 [Source:MGI Symbol;Acc:MGI:1915919],ENSMUSG00000059981,ENSG00000149930,ENSMUSP00000150069,Q9UL54,Q9UL54,TAOK2_HUMAN,A0A1L1SSV8,A0A1L1SSV8,A0A1L1SSV8_MOUSE
DVL3,Dvl3,4408.948495,5857.415894,5801.923961,7279.007113,6383.591274,7028.63785,4840.791287,3163.783662,3627.110283,8173.184759,8274.269168,7766.513765,10057.89074,10489.65888,9335.074062,8812.273424,10538.24446,12769.26629,dishevelled segment polarity protein 3 [Source:MGI Symbol;Acc:MGI:108100],ENSMUSG00000003233,ENSG00000161202,ENSMUSP00000003318,Q92997,Q92997,DVL3_HUMAN,Q61062,Q61062;E9Q967;E9Q150,DVL3_MOUSE
ADAR,Adar,7754.160116,7259.272485,6878.124378,7282.959359,8103.527345,7538.655211,5016.108618,5008.5256,4708.87881,41650.68688,47685.60088,41593.30534,48772.58641,46191.01399,47004.55944,44981.51666,45827.73653,50257.11178,"adenosine deaminase, RNA-specific [Source:MGI Symbol;Acc:MGI:1889575]",ENSMUSG00000027951,ENSG00000160710,,P55265,P55265;A0A3B3IRQ9;A0A3B3ISX1,DSRAD_HUMAN,Q99MU3,Q99MU3,DSRAD_MOUSE
WDR13,Wdr13,11121.10035,6649.623909,6852.175638,7300.853088,7046.396754,7437.951956,3141.670372,5675.489682,4364.867452,20227.18966,28629.70975,20666.16777,29702.86956,30174.99109,30698.08642,26865.50286,31962.15734,34054.52916,WD repeat domain 13 [Source:MGI Symbol;Acc:MGI:1914661],ENSMUSG00000031166,ENSG00000101940,ENSMUSP00000033506,Q9H1Z4,Q9H1Z4;A0A087X091,WDR13_HUMAN,Q91V09,Q91V09;S4R225,WDR13_MOUSE
BCLAF3,Bclaf3,4564.94073,4037.835481,5447.674781,7311.395583,6492.469699,5918.567679,3895.131701,3119.547723,2858.374509,3610.287649,3604.626683,4019.224319,5750.947527,6724.788483,7118.745566,4981.287103,5408.665025,0,Bclaf1 and Thrap3 family member 3 [Source:MGI Symbol;Acc:MGI:2685992],ENSMUSG00000044150,ENSG00000173681,ENSMUSP00000108083,A2AJT9,A2AJT9,BCLA3_HUMAN,A2AG58,A2AG58,BCLA3_MOUSE
SEC14L1,Sec14l1,4985.773061,5213.688939,5530.971357,7329.13169,7145.715188,4860.592659,3686.972722,3354.714959,2544.777088,10197.48644,11108.27797,10642.10059,11534.80234,12522.44061,12394.17778,13864.53228,12719.96502,13392.76973,SEC14-like lipid binding 1 [Source:MGI Symbol;Acc:MGI:1921386],ENSMUSG00000020823,ENSG00000129657,,Q92503,Q92503;K7EJ08,S14L1_HUMAN,A8Y5H7,A8Y5H7,S14L1_MOUSE
GALNT16,Galnt16,6633.410805,5230.838248,4908.956348,7366.242863,4630.387111,6571.527007,3614.238963,2595.201671,2999.479527,33683.24152,32688.87267,33966.36898,37620.10455,32191.56318,29284.50059,34846.86789,33256.12177,32730.53212,polypeptide N-acetylgalactosaminyltransferase 16 [Source:MGI Symbol;Acc:MGI:1917754],ENSMUSG00000021130,ENSG00000100626,ENSMUSP00000151829,Q8N428,Q8N428,GLT16_HUMAN,Q9JJ61,Q9JJ61;Q8BVG5;Q08EC9,GLT16_MOUSE
UIMC1,Uimc1,6129.753402,5265.510692,4996.541905,7377.385149,5710.933556,6457.290329,3905.77048,3990.196276,4065.668123,7661.727744,7779.635979,6400.24288,8210.518723,7946.004719,7436.944793,8323.060869,11060.45117,7589.541743,ubiquitin interaction motif containing 1 [Source:MGI Symbol;Acc:MGI:103185],ENSMUSG00000025878,ENSG00000087206,ENSMUSP00000122196,Q96RL1,Q96RL1,UIMC1_HUMAN,Q5U5Q9,Q5U5Q9;E9Q577;A0A0R4J183;A0A0R4J073,UIMC1_MOUSE
PLXNB2,Plxnb2,6445.602588,6529.474368,6361.966401,7383.643053,7004.741138,7216.610391,4662.749679,4342.381652,4371.313261,15980.96788,17573.38404,16006.22915,20311.90921,19707.48712,20526.88047,18811.9124,19826.98266,20323.40213,plexin B2 [Source:MGI Symbol;Acc:MGI:2154239],ENSMUSG00000036606,ENSG00000196576,,O15031,O15031,PLXB2_HUMAN,B2RXS4,B2RXS4,PLXB2_MOUSE
PVR,Pvr,11649.35656,6466.324104,5051.487449,7392.428902,6340.84779,7520.108947,4801.671138,4051.771665,4842.251765,22488.38153,0,29850.02896,32255.87573,33182.9983,32104.8234,28946.20744,26726.82184,30777.45117,poliovirus receptor [Source:MGI Symbol;Acc:MGI:107741],ENSMUSG00000040511,ENSG00000073008,ENSMUSP00000039205,P15151,P15151;A0A0C4DG49;A0A0A0MSA9,PVR_HUMAN,Q8K094,Q8K094,Q8K094_MOUSE
RAPH1,Raph1,5866.26167,5904.542738,6289.013094,7395.839473,6877.802571,7026.704228,4190.192041,4329.955643,4106.522383,4319.281207,6117.177929,4578.894669,6299.821324,6270.70519,5378.235164,5820.748281,5626.899445,6402.088065,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 [Source:MGI Symbol;Acc:MGI:1924550],ENSMUSG00000026014,ENSG00000173166,ENSMUSP00000121023,Q70E73,Q70E73;C9J0R8;C9JLG4;C9J164;C9K0J5,RAPH1_HUMAN,F2Z3U3,F2Z3U3,F2Z3U3_MOUSE
HIP1R,Hip1r,5721.999499,6225.433153,6209.366238,7397.090099,6216.014888,6886.739034,4692.657102,4601.178779,4498.971807,12077.12382,13680.16501,12923.07626,15726.49783,15287.41827,15153.93001,15170.26627,16301.06005,15762.45231,huntingtin interacting protein 1 related [Source:MGI Symbol;Acc:MGI:1352504],ENSMUSG00000000915,ENSG00000130787,ENSMUSP00000000939,O75146,O75146,HIP1R_HUMAN,Q9JKY5,Q9JKY5;F7DCR9,HIP1R_MOUSE
ZNF618,ZNF618,5106.870385,6641.562566,6321.6547,7405.308082,7116.434484,7094.111894,5720.076898,4392.61441,4565.378859,26904.74625,28308.88348,25990.35992,30364.35465,31070.12019,30696.4335,30175.08187,31515.97534,31686.28196,zinc finger protein 618 [Source:MGI Symbol;Acc:MGI:1919950],ENSMUSG00000028358,ENSG00000157657,ENSMUSP00000030043,Q5T7W0,Q5T7W0,ZN618_HUMAN,Q80YY7,Q80YY7;R4GMK9,ZN618_MOUSE
ANO10,Ano10,4846.321498,6315.628409,6038.454554,7412.251975,7722.354584,8427.194483,5602.363657,5667.851389,5587.534608,12694.59483,14015.62365,14308.76592,14003.35367,12241.04163,14523.20438,15207.67162,16793.70589,14776.65194,anoctamin 10 [Source:MGI Symbol;Acc:MGI:2143103],ENSMUSG00000037949,ENSG00000160746,ENSMUSP00000045214,Q9NW15,Q9NW15;C9IZD0;C9JQC9;C9J670;C9JPY2;C9IYD3;C9JA49,ANO10_HUMAN,Q8BH79,Q8BH79;A0A1L1SR14;A0A1L1SS60,ANO10_MOUSE
ANKS1A,ANKS1A,6857.38971,6255.331112,7413.224162,7420.945921,7330.991238,7783.934267,4713.533768,4802.701721,4330.833465,9847.830941,11651.33644,9382.0603,13511.67007,13333.13773,13553.66733,12017.31838,10916.41009,12598.59166,ankyrin repeat and SAM domain containing 1 [Source:MGI Symbol;Acc:MGI:2446180],ENSMUSG00000024219,ENSG00000064999,ENSMUSP00000110491,Q92625,Q92625;A0A3B3ISP1;A0A3B3ITU5,ANS1A_HUMAN,P59672,P59672;Q3UHP6;A0A3B2WAQ7;A0A3B2W7H4,ANS1A_MOUSE
TBC1D10B,Tbc1d10b,9962.921508,5553.41755,7560.821399,7441.014458,6063.726204,7175.028447,5735.023126,5028.805245,4405.539568,7909.082308,10752.54184,6590.552056,7956.241293,6909.747964,7093.688467,6901.959233,7635.035408,12761.06056,"TBC1 domain family, member 10b [Source:MGI Symbol;Acc:MGI:1915699]",ENSMUSG00000042492,ENSG00000169221,ENSMUSP00000113307,Q4KMP7,Q4KMP7,TB10B_HUMAN,Q8BHL3,Q8BHL3,TB10B_MOUSE
TAF3,Taf3,4728.668034,6294.233785,7186.830106,7449.497747,4363.239636,6403.257387,4452.464147,5477.609182,3008.674675,3292.278297,4022.434925,3717.816137,5214.742606,4308.463219,4688.479624,5433.516597,4383.262198,4452.859903,TATA-box binding protein associated factor 3 [Source:MGI Symbol;Acc:MGI:2388097],ENSMUSG00000025782,ENSG00000165632,ENSMUSP00000110559,Q5VWG9,Q5VWG9,TAF3_HUMAN,Q5HZG4,Q5HZG4;A2ASY0,TAF3_MOUSE
MIB1,Mib1,7088.739625,6965.13535,6978.412326,7457.221335,7258.360997,6550.627652,4875.923035,4473.375422,4284.908897,69177.85674,68043.77806,58505.97955,76442.35652,82066.2094,85301.15528,73926.80196,70649.35288,71315.17705,MIB E3 ubiquitin protein ligase 1 [Source:MGI Symbol;Acc:MGI:2443157],ENSMUSG00000024294,ENSG00000101752,ENSMUSP00000054428,Q86YT6,Q86YT6,MIB1_HUMAN,Q80SY4,Q80SY4,MIB1_MOUSE
INPP5A,Inpp5a,11241.03244,6321.387943,8594.198626,7462.333328,7526.730884,10119.86398,4765.689675,5705.864267,6564.400898,13625.09227,13447.17717,13918.28086,14659.16469,17011.19381,16112.98875,14485.55697,16431.69204,13502.23911,inositol polyphosphate-5-phosphatase A [Source:MGI Symbol;Acc:MGI:2686961],ENSMUSG00000025477,ENSG00000068383,ENSMUSP00000101704,Q14642,Q14642;H0Y2W5;Q5T1B5,I5P1_HUMAN,Q7TNC9,Q7TNC9;Q3TZT4,I5P1_MOUSE
VARS2,Vars2,5929.181308,6545.065236,6701.609459,7467.619195,7072.46365,7246.255521,5433.364259,5106.40865,4838.476611,62845.32825,59457.63383,66516.2186,73576.81358,73337.01315,85655.90737,63848.71382,59754.42543,64829.98675,"valyl-tRNA synthetase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:1916165]",ENSMUSG00000038838,ENSG00000137411,ENSMUSP00000047917,Q5ST30,Q5ST30;A0A140T8Y0;B4E0K6;A0A140TA40;A0A0A0MTG1;A0A0G2JIA5;A0A0G2JL52;A0A140TA36;A0A140TA35;B7ZL25;B7ZCJ6;A0A140TA45,SYVM_HUMAN,Q3U2A8,Q3U2A8;F7A8L1;F6YJY2,SYVM_MOUSE
CHST14,Chst14,10170.1576,10045.27127,9319.438106,7470.267503,10193.69463,11032.65948,0,5121.422883,4834.973754,27767.12881,30556.83796,31908.29286,37768.76555,35029.89115,33675.75651,34165.61996,39155.70591,38947.9129,carbohydrate sulfotransferase 14 [Source:MGI Symbol;Acc:MGI:1919386],ENSMUSG00000074916,ENSG00000169105,ENSMUSP00000099579,Q8NCH0,Q8NCH0,CHSTE_HUMAN,Q80V53,Q80V53;A2AQV2,CHSTE_MOUSE
TNIP1,Tnip1,6807.800389,6402.882107,6305.208075,7489.485071,6984.934845,7005.484828,5711.28798,5961.240644,5538.746598,4916.181433,6412.604916,4488.205757,5996.120754,9754.819407,8575.399242,8485.660821,7829.450458,7479.280748,TNFAIP3 interacting protein 1 [Source:MGI Symbol;Acc:MGI:1926194],ENSMUSG00000020400,ENSG00000145901,,Q15025,Q15025;A0A0A0MRZ4;E7EMV7;H0YC17,TNIP1_HUMAN,Q9WUU8,Q9WUU8;E9QM75;D3Z2W0,TNIP1_MOUSE
KANSL3,Kansl3,3761.328876,5772.464895,5656.357851,7500.575005,6945.23041,6656.163398,4373.054172,3738.608994,4158.655881,5403.349467,5271.10939,5292.43686,5619.098094,5348.296877,7291.945804,6906.370831,5103.462482,7083.806779,KAT8 regulatory NSL complex subunit 3 [Source:MGI Symbol;Acc:MGI:1918055],ENSMUSG00000010453,ENSG00000114982,ENSMUSP00000140547,Q9P2N6,Q9P2N6;C9J5A4;A0A590UJ53,KANL3_HUMAN,A2RSY1,A2RSY1,KANL3_MOUSE
BLM,Blm,8248.513169,7183.451546,6687.924391,7510.969755,8387.584652,8192.887503,4913.060442,5129.104154,4806.802355,8625.646659,8495.323483,8353.851626,10016.56991,8347.552013,9425.882262,9728.011365,7749.112182,9773.039255,"Bloom syndrome, RecQ like helicase [Source:MGI Symbol;Acc:MGI:1328362]",ENSMUSG00000030528,ENSG00000197299,ENSMUSP00000146062,P54132,P54132;H0YNU5;A0A3B3IT82,BLM_HUMAN,O88700,O88700;A0A0U1RPS3;E9PZ97,BLM_MOUSE
